scenario_id,num_runs,HR_collision_pedestrian,HR_collision_vehicle,HR_collision_static,HR_red_light,HR_stop_sign,HR_off_road,HR_lane_invasion,R_collision_pedestrian,R_collision_vehicle,R_collision_static,R_red_light,R_stop_sign,R_off_road,R_lane_invasion,S_collision_pedestrian,S_collision_vehicle,S_collision_static,S_red_light,S_stop_sign,S_off_road,S_lane_invasion,HR_avg,R_avg,T_exec_avg,completed_runs,completion_rate,tool
scenario_020,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0063,0,0.0,ScenarioFuzzLLM
scenario_021,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0045,0,0.0,ScenarioFuzzLLM
scenario_022,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0162,0,0.0,ScenarioFuzzLLM
scenario_023,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0055,0,0.0,ScenarioFuzzLLM
scenario_024,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0128,0,0.0,ScenarioFuzzLLM
scenario_025,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0037,0,0.0,ScenarioFuzzLLM
scenario_026,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_027,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0047,1,0.1,ScenarioFuzzLLM
scenario_028,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.005,1,0.1,ScenarioFuzzLLM
scenario_029,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0044,0,0.0,ScenarioFuzzLLM
scenario_030,10,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.6,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.5714,0.4286,60.0042,0,0.0,ScenarioFuzzLLM
scenario_01,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0044,0,0.0,SimADFuzz
scenario_02,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0045,0,0.0,SimADFuzz
scenario_03,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0039,0,0.0,SimADFuzz
scenario_04,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0088,0,0.0,SimADFuzz
scenario_05,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0048,0,0.0,SimADFuzz
scenario_06,10,0.0,0.3,1.0,0.0,0.0,1.0,1.0,0.0,0.18,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4714,0.3686,60.008,0,0.0,SimADFuzz
scenario_07,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0034,0,0.0,SimADFuzz
scenario_08,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0036,0,0.0,SimADFuzz
scenario_09,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0075,0,0.0,SimADFuzz
scenario_10,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0049,0,0.0,SimADFuzz
scenario_11,10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,0.0,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2143,60.0055,0,0.0,SimADFuzz
scenario_12,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0027,0,0.0,SimADFuzz
scenario_13,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0069,10,1.0,SimADFuzz
scenario_14,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0094,0,0.0,SimADFuzz
scenario_15,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0039,0,0.0,SimADFuzz
scenario_16,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.005,0,0.0,SimADFuzz
scenario_17,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0042,0,0.0,SimADFuzz
scenario_18,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0066,0,0.0,SimADFuzz
scenario_19,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0052,0,0.0,SimADFuzz
scenario_20,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0049,0,0.0,SimADFuzz
scenario_21,10,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.65,0.0,0.0,0.9,0.85,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.4286,0.3429,60.0068,0,0.0,SimADFuzz
scenario_22,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.65,0.0,0.0,0.9,0.0,0.5,0.6,0.65,0.7,0.8,0.9,0.85,0.2857,0.2214,60.0045,0,0.0,SimADFuzz
